Number,Title,Category,Question,Link,BasePoints,StartTime,EndTime,AdditionalBonusInstructions,AdditionalBonusPoints
1,test_flag,Misc,The flag is acsc18{TestFlag},,5,1542308415,1542394815,,
2,chat_with_me,Misc,Just visit the ACSC Slack chat to get the flag (and then hang around afterwards for announcements and other information).  Link is below,https://join.slack.com/t/acsc18/shared_invite/enQtNDM0Mzg1NTQ2ODIwLWY3ZmY3YWZjMGNhOTExMWRjOWFlNTQ4YjhjZjk5NTQwYTVlN2M5YTgxN2EyY2YwMzc0MDNlNDdhZTAyMjFmYzU,5,1542308415,1542394815,,
3,hints,Misc,"Purchase each hint to get the flag (don't worry, you won't actually lose any points for this hint)",,5,1542308415,1542394815,,
4,Anchovy_Dressing,Cryptography,57n7w3{dkm9a9m6gp97c99n98m9nndib},,30,1542308415,1542394815,,
5,Crypto 1,Cryptography,"Not a lot to say....find the flag

0x610x630x730x630x310x380x7b0x540x680x69 115077101115115097103101073115 01001001011011100100100001100101011110000100010001100101011000110100001001101001 bkFuZEJhc2V9",,30,1542308415,1542394815,,
6,DLLicious,Reverse Engineering,"You found a suspicious looking dll on your machine. Can you figure out what its doing?
File can be found at the link below",https://challenge.acsc18.com/files/DLLicious/acsc.dll,80,1542308415,1542394815,,
7,SANs,Forensics,"Pretty sure there's more information to this report then meets the eye.
File can be found at the link below",https://challenge.acsc18.com/files/SANs/2018%20SANS%20Security%20Awareness%20Report.pdf,80,1542308415,1542394815,,
8,aol,Web Exploitation,"Remember when AOL used the be all the rage? For some reason AOL still thinks it is. So they have released a pretty cool feature, but the system will only allow their own browser to access it. Do you still have one of their free disks?
(NOTE: Please don't actually install this crap on your system)",,35,1542308415,1542394815,,
9,ascii_art,Misc,"No real trick here...
!!!!!!!Flag starts here !!!!!!! ____ ____ _____ ____ ____ _____ _____ _____ ______ _____ ________ ____ ______ ________ ______ ( ) / ) /  / ) / / / _  / ( / _  ( _  ( ) ( ) ( ) ( __  ( ) )  / /  / / ( ( / / / /) ) ( () ) ) ) ( () ) ) () ) | | ) ) / /  ) () ) ) ) ( ( ( () ) ( ( _  ( ( //( (  _ / / /  _ /  / | | ( ( ( () ) ( / ( (   ) ( ( ( ) ) ( ( ) ) / /     / /   / _  | | ) ) ) ( )   _ ) ) / / / /   _ _/ /  _ ( ( ( () ) ) )__ ( () ) ) () ) | | ( ( / /  ( (  _)) ( ( ____( ( /( ) _) // _) / _____/ (( _/ (/ /( / /( ) )) _/ / )______) !!!!!!End of Flag!!!!!!!",,40,1542308415,1542394815,,
10,browser_version,Forensics,"A shiny new privilege escalation browser exploit was passed on to you and your team. You are so excited, you can hardly contain yourself and with that, want to let 'er rip as soon as possible. You've been working on escalate your privleges for a while and it seems the time has come! As you begin to prep your launcher, you decide to verify the browser platform version on the target one more time. Submit the browser version.
NOTE: Be sure to submit the flag in the correct format ( acsc18{flag} )
File can be found at the link below",https://challenge.acsc18.com/files/browser_version/Firefox.zip,30,1542308415,1542394815,,
11,compiler_voodoo1,Reverse Engineering,"Get the password and submit it for points.
File can be found at the link below",https://challenge.acsc18.com/files/compiler_voodoo1/voodoo1,150,1542308415,1542394815,,
12,compiler_voodoo2,Reverse Engineering,"Get the password and submit it for points.
File can be found at the link below",https://challenge.acsc18.com/files/compiler_voodoo2/voodoo2,180,1542308415,1542394815,,
13,crackme-1,Reverse Engineering,"How good are you at picking locks? Try your luck here.
File can be found at the link below",https://challenge.acsc18.com/files/crackme-1/crackme-1,50,1542308415,1542394815,,
14,crypto-2,Cryptography,"Can you crack the cipher? It looks like the server is using RSA to encrypt secrets.
challenge.acsc18.com:5001",https://challenge.acsc18.com/files/crypto-2/server.py,100,1542308415,1542394815,,
15,dsp-2,Misc,"https://imgs.xkcd.com/comics/fourier.jpg
To read the file into python: ```python f = open('dsp_2.iq', 'rb')
# read the IQ data from the file as np.complex rx_signal = scipy.fromfile(f, dtype=np.complex)
f.close() ```",https://challenge.acsc18.com/files/dsp-2/dsp_2.iq,180,1542308415,1542394815,,
16,decoder,Scripting,"Encryption is hard, encoding is easy, but not very secure. So let's just encode A LOT of times! Don't worry, we even told you what encoding method we used on each pass (encoding...).
1.  base64 = base64 encoded string 2.  base32 = base32 encoded string 3.  reverse = reverse the order of the string (abc -> cba) 4.  CaseInvert = swap the capitalization of the strig (AbC -> aBc) 5.  rot13 = encode the string with 'rot_13'",,60,1542308415,1542394815,,
17,exposed_server,Web Exploit,Just another exposed web server. You can find the flag in /etc/flag.txt. NOTE NO TOOLS ARE REQUIRED FOR THIS CHALLENGE!,,60,1542308415,1542394815,,
18,feeling_lucky,Reverse Engineering,"You found the source code to a slot machine, can you use your insider knowledge to win big?",,60,1542308415,1542394815,,
19,find_the_key,OSINT,Enter the ip address of the server that is hosting the SSL certificate with the serial number 03:0a:d7:bc:48:8b:05:b9:4f:db:25:70:92:72:c3:98:11:20. Ensure you use to correct flag format acsc18{X.X.X.X},,30,1542308415,1542394815,,
20,force,Forensics,"Yoda was wise but Luke managed to make it into more movies.
File can be found at the link below",https://challenge.acsc18.com/files/force/Force.htm,25,1542308415,1542394815,,
21,forgot_something,Forensics,"The flag is right there, just open the image.
File can be found at the link below",https://challenge.acsc18.com/files/forgot_something/forgot_something.jpg,35,1542308415,1542394815,,
22,ftp_capture,Forensics,"Plaintext FTP transfer...what could be easier
File can be found at the link below",https://challenge.acsc18.com/files/ftp_capture/ftp.pcap,35,1542308415,1542394815,,
23,jollyroger,Reverse Engineering,"It looks like this smart device provides an unauthenticated web portal to update the firmware. The developers say that they cryptographically sign their code so there's no need to authenticate, but I have a hunch it's not as secure as they think. Can you find a way to upload a modified firmware image?
challenge.acsc18.com:5003",https://challenge.acsc18.com/files/jollyroger/firmware,150,1542308415,1542394815,,
